City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
cabo san lucas,20,MX,1551059160,59,22.89,-109.91,19.0,2.1
bambous virieux,40,MU,1551060000,83,-20.34,57.76,27.0,4.1
mataura,12,NZ,1551061757,46,-46.19,168.86,17.05,4.86
vaini,0,IN,1551060000,49,15.34,74.49,20.0,1.71
rikitea,92,PF,1551061757,100,-23.12,-134.97,26.67,6.26
khatanga,56,RU,1551061758,56,71.98,102.47,-24.38,2.31
atuona,0,PF,1551061758,100,-9.8,-139.03,27.17,4.01
liverpool,0,GB,1551059400,93,53.41,-2.98,5.0,3.6
vostok,68,RU,1551061759,63,46.45,135.83,-6.28,2.31
comodoro rivadavia,40,AR,1551060000,39,-45.87,-67.48,9.0,2.6
mar del plata,12,AR,1551061759,77,-46.43,-67.52,6.95,3.91
taltal,0,CL,1551061759,98,-25.41,-70.49,13.05,0.51
palmer,1,US,1551059880,49,61.6,-149.11,-4.0,1.5
hithadhoo,92,MV,1551061760,100,-0.6,73.08,28.07,3.46
norman wells,90,CA,1551060000,65,65.28,-126.83,-15.0,1.0
leningradskiy,88,RU,1551061760,82,69.38,178.42,-8.36,8.31
ushuaia,75,AR,1551056400,48,-54.81,-68.31,6.0,8.2
morant bay,20,JM,1551060000,54,17.88,-76.41,27.0,6.2
yaan,20,NG,1551061761,90,7.38,8.57,24.3,3.41
ilulissat,44,GL,1551059400,66,69.22,-51.1,-12.0,2.1
rantepao,56,ID,1551061761,90,-2.97,119.9,23.82,1.16
constitucion,40,MX,1551059100,6,23.99,-104.67,19.0,5.1
vila velha,20,BR,1551060000,88,-3.71,-38.6,25.0,2.1
nikolskoye,75,RU,1551060000,74,59.7,30.79,3.0,7.0
igbo ora,24,NG,1551061762,93,7.43,3.28,25.2,2.66
sao felix do xingu,24,BR,1551061478,95,-6.64,-51.99,23.7,1.06
port alfred,36,ZA,1551061763,96,-33.59,26.89,19.05,2.36
nipawin,1,CA,1551060000,57,53.36,-104.02,-23.0,4.6
barrow,12,AR,1551061763,71,-38.31,-60.23,11.22,5.81
avarua,44,CK,1551060000,69,-21.21,-159.78,27.0,1.5
narsaq,76,GL,1551059400,32,60.91,-46.05,5.0,10.8
colares,0,PT,1551060000,76,38.8,-9.45,12.0,2.1
albany,90,US,1551060300,74,42.65,-73.75,6.0,6.7
hilo,90,US,1551059580,73,19.71,-155.08,22.0,3.6
erenhot,0,CN,1551061764,36,43.65,111.97,-1.18,1.71
punta arenas,75,CL,1551060000,70,-53.16,-70.91,7.0,5.7
lyngseidet,75,NO,1551061200,86,69.58,20.21,4.0,15.9
gien,0,FR,1551061765,78,47.69,2.63,0.72,1.31
half moon bay,90,US,1551059760,58,37.46,-122.43,12.0,3.6
kralendijk,0,BQ,1551059700,78,12.15,-68.27,25.0,6.2
sao filipe,0,CV,1551061766,90,14.9,-24.5,22.45,5.46
lima,0,PE,1551056400,78,-12.06,-77.04,24.0,4.6
kudahuvadhoo,8,MV,1551061767,100,2.67,72.89,27.97,5.66
beloha,0,MG,1551061767,90,-25.17,45.06,20.97,1.06
sola,40,NO,1551061200,100,58.89,5.65,4.0,1.5
zhangjiakou,76,CN,1551061767,69,40.77,114.88,-1.61,1.76
angoche,8,MZ,1551061470,100,-16.23,39.91,27.52,1.76
victoria,75,BN,1551058200,83,5.28,115.24,28.0,1.5
east london,68,ZA,1551061768,100,-33.02,27.91,21.85,4.66
makakilo city,90,US,1551059580,54,21.35,-158.09,27.0,2.1
pevek,80,RU,1551061769,79,69.7,170.27,-18.81,13.31
san patricio,88,PY,1551061769,98,-26.98,-56.83,22.35,2.26
college,1,US,1551059880,56,64.86,-147.8,-7.0,0.36
ukiah,90,US,1551059760,87,39.15,-123.21,9.0,2.1
puerto ayora,56,EC,1551061770,100,-0.74,-90.35,26.15,2.31
jamestown,0,AU,1551061770,35,-33.21,138.6,30.9,2.66
new norfolk,0,AU,1551060000,16,-42.78,147.06,30.0,3.6
georgetown,20,GY,1551060000,94,6.8,-58.16,26.0,2.1
tahe,32,CN,1551061771,53,52.34,124.71,-5.58,1.76
tabou,0,CI,1551061772,97,4.42,-7.36,28.17,6.16
birjand,0,IR,1551060000,68,32.86,59.22,-1.0,2.1
padang,20,ID,1551060000,74,-0.92,100.36,30.0,1.0
opuwo,92,NA,1551061772,26,-18.06,13.84,28.3,2.81
